month,distance,city,year ,time_of
12,0,raleigh,1987,1987
5,7523.18,Punjab,1993,1993
8,0,raleigh,1993,1993
5,610.4,Boston,2005,2005
8,0,raleigh,2005,2005
8,21.7,Durham,2006,2006
5,7726.22,New Delhi,2007,2007
8,21.7,Durham,2007,2007
5,7779.19,jodhpur,2008,2008
8,21.7,durham,2008,2008
5,7967.37,ahmedebad,2009,2009
8,21.7,durham,2009,2009
8,2364.49,seattle,2010,2010
9,2407.48,san francisco,2012,2012
12,2407.48,san francisco,2012,2012
8,356,atlanta,2014,2014
9,356,atlanta,2014,2014
