year,chocolate,candy,gum,total,
2004,15.1,8,2.5,25.6,25.6
2005,16,8,2.9,26.9,26.9
2006,17.4,8,3.1,28.5,28.5
2007,17.8,8,3.5,29.3,29.3
2008,18.3,8,3.9,30.2,30.2
2009,18.7,8,3.9,30.6,30.6
2010,18.8,8,3.9,30.7,30.7
2011,19,8,3.9,30.9,30.9
2012,19.3,8,4,31.3,31.3
2013,19.6,8,4,31.6,31.6
2014,19.8,8,4,31.8,31.8
